salary_match_binary,salary_diff,talent_salary_bin,job_max_salary_bin,degree_match_binary,seniority_match_binary,seniority_exceed_binary,job_roles_match_binary,language_must_have_match_binary,language_good2have_count
1,0.57,1,4,0,1,0,0,1,0
1,0.07,4,4,1,1,0,1,1,0
0,-0.44,5,3,0,1,0,1,1,1
1,0.14,3,4,1,1,0,1,1,0
1,0.06,4,5,1,1,0,0,1,1
0,-0.04,5,5,1,1,0,0,1,0
1,0.0,5,5,1,1,0,1,1,0
1,0.0,4,4,0,0,0,1,0,0
1,0.07,3,4,1,1,0,1,1,0
0,-0.05,3,3,0,0,0,0,0,0
1,0.07,3,4,1,1,0,1,1,0
0,-0.16,2,2,0,1,0,1,1,0
1,0.0,5,5,1,0,0,0,0,0
1,0.15,4,5,1,1,0,1,1,0
0,-0.1,6,5,1,1,0,1,1,0
1,0.07,3,4,1,1,0,1,1,0
1,0.15,4,5,1,1,0,1,1,0
1,0.32,2,5,1,1,0,1,1,0
0,-0.12,6,5,0,0,0,0,1,1
0,-0.46,8,5,0,0,0,0,0,0
1,0.54,1,5,1,1,0,1,1,0
1,0.09,4,5,1,0,0,1,0,0
1,0.36,1,4,0,0,0,0,0,0
0,-0.22,8,6,1,0,0,0,1,0
0,-0.21,6,4,0,0,0,1,1,0
1,0.15,4,5,1,1,0,1,1,0
0,-0.23,5,4,1,0,0,1,1,0
1,0.07,4,4,1,1,0,1,1,0
1,0.08,3,3,1,1,0,1,1,0
1,0.0,5,5,1,1,0,1,1,0
1,0.07,4,4,1,1,0,1,1,0
1,0.0,3,3,1,1,0,1,1,1
1,0.09,4,4,1,1,0,1,1,0
0,-0.07,4,4,1,1,0,1,1,0
0,-0.38,6,4,0,0,0,1,0,0
1,0.43,1,4,1,1,0,1,1,0
0,-0.17,6,5,1,1,0,0,0,0
0,-0.5,7,4,0,0,0,0,1,0
1,0.08,3,3,0,1,0,1,1,1
1,0.39,1,4,1,1,0,1,1,0
1,0.02,5,5,1,1,0,1,1,0
1,0.29,2,4,1,0,0,1,1,0
1,0.06,5,6,1,1,0,1,1,1
1,0.12,4,5,1,1,0,1,1,0
0,-0.32,6,4,0,1,0,1,1,0
1,0.23,2,3,1,1,0,1,1,1
1,0.0,5,5,1,1,0,1,1,0
1,0.26,1,2,1,1,0,1,1,0
1,0.21,2,4,1,1,0,1,1,0
0,-0.45,8,5,0,0,0,0,0,1
0,-0.16,4,3,0,0,0,1,0,0
1,0.36,1,4,1,1,0,1,1,0
1,0.15,4,5,1,1,0,0,1,0
1,0.53,1,4,1,1,0,1,1,0
1,0.15,2,3,1,1,0,1,1,1
1,0.46,1,3,0,1,0,0,1,0
0,-0.2,6,5,1,0,0,0,0,0
1,0.14,3,4,1,1,0,1,0,0
0,-0.28,5,4,1,1,0,0,1,0
1,0.08,3,3,1,1,0,1,1,0
1,0.0,5,5,0,1,0,1,1,0
1,0.04,4,4,1,1,0,1,1,0
0,-0.44,7,4,0,1,0,1,1,0
0,-0.23,5,4,0,1,0,0,1,0
1,0.23,2,4,1,1,0,0,0,0
0,-0.07,4,4,0,1,0,0,0,0
1,0.15,4,5,1,1,0,1,1,0
0,-0.38,4,2,0,0,1,0,0,0
1,0.19,3,5,1,1,0,1,1,0
0,-0.33,6,4,1,1,0,1,1,0
0,-0.4,6,4,0,1,0,0,0,0
1,0.17,4,6,1,1,0,1,1,1
1,0.2,3,4,1,1,0,0,1,0
1,0.41,1,5,1,0,0,1,1,0
1,0.15,2,3,1,1,0,1,1,1
1,0.29,2,4,1,1,0,1,1,0
0,-0.43,7,4,0,1,0,1,1,0
1,0.12,4,5,1,1,0,1,1,1
1,0.07,3,4,1,1,0,1,1,0
0,-0.28,6,4,1,0,0,0,1,0
1,0.03,3,4,1,1,0,1,1,0
0,-0.07,5,4,1,1,0,1,1,0
0,-0.16,2,1,1,0,0,0,0,0
1,0.2,3,4,0,0,0,1,1,0
0,-0.06,5,5,1,1,0,1,0,1
0,-0.23,6,5,1,0,0,0,0,1
0,-0.28,5,4,0,0,0,0,0,0
1,0.3,4,7,1,1,0,1,1,1
1,0.38,2,5,1,1,0,1,1,1
1,0.21,2,4,0,1,0,0,1,0
0,-0.32,4,2,1,0,1,0,0,0
0,-0.24,7,5,0,0,0,0,0,0
1,0.0,5,5,1,1,0,1,1,0
1,0.06,4,5,1,1,0,1,1,0
1,0.02,5,5,1,1,0,0,1,0
1,0.0,5,5,1,0,0,1,1,1
1,0.21,2,4,1,1,0,1,1,1
1,0.21,2,4,1,0,1,1,0,0
0,-0.42,8,5,1,0,0,0,1,1
0,-0.48,9,5,0,0,0,0,0,0
1,0.36,1,4,1,1,0,1,1,0
1,0.09,4,4,1,1,0,1,1,0
1,0.4,1,4,1,1,0,1,1,0
0,-0.48,9,5,1,0,0,0,1,0
1,0.28,3,6,1,1,0,1,1,1
1,0.25,2,3,1,1,0,1,1,0
1,0.07,4,4,1,1,0,1,1,0
1,0.11,2,3,1,1,0,1,1,0
1,0.06,4,5,1,1,0,1,1,1
1,0.13,3,4,1,1,0,1,1,0
1,0.26,1,3,1,1,0,1,1,1
0,-0.18,6,5,1,0,0,0,0,0
0,-0.17,6,4,0,0,0,0,0,0
1,0.09,5,6,0,1,0,1,1,1
1,0.0,5,5,1,1,0,1,1,1
1,0.14,3,4,1,1,0,1,1,0
0,-0.19,5,4,0,0,0,0,0,0
0,-0.07,5,4,1,1,0,1,1,0
1,0.0,4,4,1,1,0,1,1,0
1,0.07,3,4,0,0,0,0,0,0
1,0.14,3,4,1,0,0,0,0,0
1,0.0,3,3,1,0,0,1,0,1
1,0.26,2,4,1,1,0,0,1,0
1,0.34,1,2,1,1,0,1,1,0
1,0.06,4,5,1,1,0,1,1,1
1,0.43,1,4,0,1,0,0,1,0
1,0.19,2,4,1,1,0,1,1,0
0,-0.08,3,3,1,1,0,1,1,1
0,-0.5,7,4,0,1,0,1,1,0
1,0.33,3,6,1,1,0,1,1,1
0,-0.33,7,5,0,0,0,1,0,0
0,-0.27,5,4,1,1,0,1,1,0
1,0.08,3,3,1,1,0,1,1,1
1,0.33,2,4,1,1,0,1,1,0
1,0.64,1,4,1,1,0,1,1,0
1,0.2,3,4,1,1,0,0,0,0
1,0.0,4,4,0,0,0,1,0,0
0,-0.22,5,4,0,1,0,0,0,0
0,-0.34,7,4,0,0,0,0,0,0
0,-0.4,6,4,1,0,1,0,0,0
0,-0.2,5,4,0,0,0,0,0,0
1,0.23,2,4,1,1,0,1,1,0
1,0.26,2,4,1,0,1,1,0,0
1,0.07,2,3,1,1,0,1,1,1
1,0.27,3,5,0,0,0,0,1,0
0,-0.06,2,2,1,1,0,1,1,1
1,0.25,2,3,1,1,0,1,1,0
0,-0.36,6,4,1,1,0,1,0,0
1,0.07,3,4,1,1,0,1,1,0
1,0.11,5,6,1,1,0,1,1,1
0,-0.2,5,4,1,0,0,0,0,0
1,0.14,3,4,1,1,0,1,1,0
1,0.32,1,3,1,1,0,1,1,0
1,0.0,4,4,0,0,0,0,0,0
1,0.43,1,4,1,1,0,1,1,0
1,0.39,2,5,1,1,0,1,1,0
1,0.17,3,4,1,1,0,1,1,0
0,-0.36,7,5,0,1,0,0,0,1
1,0.29,2,4,1,1,0,1,1,0
0,-0.44,7,4,0,0,0,0,1,0
1,0.11,1,2,1,1,0,1,1,1
1,0.51,1,5,1,1,0,1,1,0
1,0.37,1,4,1,1,0,1,1,0
1,0.14,3,4,1,0,0,0,1,0
1,0.0,3,3,1,1,0,0,0,0
0,-0.27,6,4,0,0,0,1,0,0
0,-0.07,5,4,1,0,0,0,0,0
0,-0.34,6,4,0,1,0,0,0,0
1,0.14,3,4,1,1,0,1,1,0
0,-0.38,6,4,0,1,0,0,1,0
0,-0.35,6,3,0,0,0,0,0,0
1,0.07,3,4,1,1,0,1,1,0
1,0.0,4,4,0,0,0,1,1,0
0,-0.33,6,4,0,0,0,0,0,0
1,0.13,3,4,1,1,0,1,1,0
1,0.16,3,4,1,1,0,0,0,0
1,0.14,3,4,1,1,0,1,1,0
0,-0.4,4,2,0,0,1,0,0,1
0,-0.13,5,4,1,1,0,1,1,0
0,-0.33,5,3,0,1,0,0,0,1
0,-0.19,6,5,0,0,1,0,0,0
1,0.29,2,4,1,1,0,1,1,0
0,-0.44,7,4,0,0,0,0,0,0
0,-0.41,8,5,0,1,0,0,0,0
0,-0.02,2,2,1,1,0,1,1,0
0,-0.1,5,4,1,1,0,1,1,0
0,-0.12,5,4,0,0,0,1,1,0
1,0.36,1,4,0,1,0,1,1,0
1,0.18,3,5,1,0,0,1,1,0
0,-0.38,8,5,0,0,0,0,0,0
0,-0.11,3,2,1,1,0,1,1,0
0,-0.07,5,4,1,1,0,1,1,0
1,0.0,3,3,1,0,0,1,1,0
1,0.44,1,4,1,1,0,1,1,0
1,0.31,1,3,1,1,0,1,1,1
1,0.02,5,5,1,1,0,1,1,0
0,-0.42,6,4,0,1,0,0,0,0
1,0.17,4,6,1,1,0,1,1,1
1,0.18,1,2,1,1,0,1,1,0
0,-0.37,7,5,0,0,0,0,1,0
0,-0.29,7,5,0,1,0,0,0,0
1,0.03,4,4,1,1,0,1,1,0
0,-0.08,4,3,1,1,0,1,1,0
